empty_ticket_count,is_deleted,normal_ticket_count,sex,id,image_url,nickname,phone_number,status
1,False,42,FEMALE,1,https://example.com/image1.jpg,Ava85,010-1470-4237,AVAILABLE
2,False,47,FEMALE,2,https://example.com/image2.jpg,Charlotte39,010-2128-5779,AVAILABLE
0,False,107,MALE,3,https://example.com/image3.jpg,David94,010-5889-3876,AVAILABLE
4,False,44,MALE,4,https://example.com/image4.jpg,Lucas13,010-1086-4409,AVAILABLE
2,True,102,FEMALE,5,https://example.com/image5.jpg,Sebastian45,010-4565-6374,AVAILABLE
4,False,23,FEMALE,6,https://example.com/image6.jpg,Alice70,010-3080-4043,AVAILABLE
2,False,109,MALE,7,https://example.com/image7.jpg,Noah71,010-6869-2477,AVAILABLE
4,False,71,FEMALE,8,https://example.com/image8.jpg,Jack42,010-9021-8466,AVAILABLE
3,False,112,FEMALE,9,https://example.com/image9.jpg,Sophia46,010-8293-1568,AVAILABLE
0,False,74,FEMALE,10,https://example.com/image10.jpg,Isabella68,010-8877-5847,AVAILABLE
1,True,82,FEMALE,11,https://example.com/image11.jpg,James52,010-2480-8164,AVAILABLE
3,False,109,MALE,12,https://example.com/image12.jpg,Alexander19,010-3241-3760,AVAILABLE
0,False,15,MALE,13,https://example.com/image13.jpg,Alice39,010-2984-7798,AVAILABLE
5,False,24,MALE,14,https://example.com/image14.jpg,Noah16,010-3058-9524,AVAILABLE
4,True,10,MALE,15,https://example.com/image15.jpg,Sunny91,010-8906-8031,AVAILABLE
1,False,85,FEMALE,16,https://example.com/image16.jpg,Benjamin45,010-1499-1768,AVAILABLE
4,False,84,FEMALE,17,https://example.com/image17.jpg,Michael93,010-1594-4855,AVAILABLE
0,True,105,MALE,18,https://example.com/image18.jpg,Emily86,010-5522-3420,AVAILABLE
5,False,46,MALE,19,https://example.com/image19.jpg,Emma6,010-9168-8775,AVAILABLE
2,False,119,MALE,20,https://example.com/image20.jpg,David9,010-9596-8695,AVAILABLE
0,False,77,FEMALE,21,https://example.com/image21.jpg,Alice78,010-2756-6745,AVAILABLE
